54208;60096;90858
13414;36063;65399
8994793;13211412;19701940
5270844;8211950;15058638
1608800;2671997;3089027
92540534;164670713;281326250
92612;1016789;3050128
20619075;28105889;37057453
1867396;3096298;3076098
20012;32456;57522
54681;70301;77648
10276477;14692000;19153000
7047539;7549433;8011566
3897889;6163990;8048600
2786740;4126544;6767073
9153489;9859242;10251250
2431620;3718024;6949366
4829291;6822840;11607944
48200702;81364176;131280739
7867374;8861535;8170172
162501;359902;666855
109526;210660;297891
3214520;4144726;3792878
8198000;9643000;10005000
92068;144151;247312
44400;54670;61833
3693451;5589572;8339512
72493585;122199721;175786441
230934;252197;269838
81825;193057;330554
224108;412561;564187
524029;996331;1736579
1503501;2274095;3726048
17909009;24593000;30769700
91401583;106564905;108405522
5327827;6319408;7184250
109419;128213;148725
7695692;11234340;15170387
667070000;981235000;1262645000
3474724;8265549;16517948
5361367;8932121;15927713
1013581;1801688;3109269
16480384;27737905;40403959
188732;308518;547696
202316;285599;438737
1333042;2389309;3925450
4190810;5471020;6454716
7141129;9835177;11116787
124826;148041;133860
7867;16164;41685
572929;685406;943287
9602006;10304193;10255063
72814900;78288576;82211508
83636;358960;722562
60016;75313;69679
4579603;5123027;5339616
3294039;5809271;8562623
11124892;19337723;31183658
896492991;1359783541;1814543356
980067595;1590931253;2473204321
1042479827;1558472173;2045729346
275220745;349819167;392648544
667516938;793795423;861989674
4545548;7976449;12628596
27072397;43369552;68334905
265396501;302311356;320997414
30455000;37439035;40263216
1211537;1477219;1396985
22151218;35239974;66443603
409498462;464340783;487865459
118691130;201051077;336909548
4429634;4779535;5176209
393383;635256;811223
46814237;55340782;60912498
34266;43010;46491
44539;72967;107430
499189;729165;1231548
52400000;56314216;58892514
3645600;4467700;4418300
6652285;10802025;18824994
21529;26568;27351
3577413;4506559;8799165
367929;604371;1228863
616407;849886;1315455
252115;220605;530896
8331725;9642505;10805808
89861;89004;101620
32500;50200;56200
4127555;7118628;11688660
66741;104131;155328
564222;786614;742218
758716470;932213838;1074878739
3075605;5063100;6665000
2002333;3635862;6243080
162491185;271276022;474127024
4140000;4588000;4426000
3866160;5688832;8549202
9983967;10711122;10210971
1871184856;2817843031;3874987437
2302766065;3532863897;5066287495
431581209;715020866;1191300058
163861743;269328534;435073133
87792512;147490366;211540428
267719466;445692332;756226925
48441;65108;76806
449661874;697229745;1053481072
2828600;3412800;3805174
21906905;38668222;65850062
7289759;13653358;23574751
175574;228138;281205
2114020;3878000;6289000
50199700;56433883;56942108
1629003;2133000;2589389
888632;2280670;4767476
92500572;116782000;126843000
9714260;14518924;14883626
8105440;16267906;31065820
2172300;3617400;4898400
5722370;6718241;12197905
41234;59340;84406
51197;43205;45544
25012374;38123775;47008111
947000;1521000;1700000
206448158;344916769;501172602
2119944;3252701;5342879
1804927;2605294;3235380
1120314;1892529;2891968
1434576;3191304;5337264
89901;117984;156949
220572260;364281964;525907201
241072814;393172012;664386087
154643623;250488773;423655372
16504;25869;33282
9896000;14747000;18655000
946484445;1507845249;2312488976
2276339100;3504520730;5040565572
851412;1307403;1856225
1099608911;1597245116;2044297095
2778550;3413202;3499536
313970;364150;436300
2120979;2511701;2367550
171456;246236;431907
4279;7580;28384
12328534;20071902;28950553
22454;26746;32081
2544000;3396000;3639592
5099371;8746516;15744811
89875;158282;286000
105557277;185183207;315122478
38174114;69330974;102808590
14665;30581;52161
2121695477;3254031957;4616910200
1488664;1924194;2012051
5263730;7090125;11046926
326550;316645;381363
21486424;34470694;47669791
97914047;166936522;278580533
480579;572608;604950
955514;1689622;2397438
10070;17048;68434
7493278;11936379;18264536
858170;1534085;2711421
659351;966039;1186873
3618604;6163225;11193230
8160975;13833739;23420751
198624409;251872670;312993944
602545;1012761;1897953
79000;140050;213230
3395212;5963159;11224523
45211614;73698096;122876723
1774696;3249910;5026792
11486631;14149800;15925513
3581239;4085620;4490967
10056945;14890080;23740145
4433;7488;10042
2371800;3112900;3857700
788769132;987744287;1157260608
551737;1154375;2239403
9190554;13628840;20898841
44911810;78071984;138250487
1132924;1978575;3028751
10061519;17359118;25914875
26273023;47396966;77932247
9638;12197;19174
1966957;3215483;5374051
29637450;35574150;38258629
188373482;318378349;552445596
2358000;3206000;3810605
11424179;17372167;22840218
8857716;9766312;10289898
1902871;3180628;5302703
865811;1420689;1963761
754697140;910028235;1020294075
78083;151702;237267
47309;223715;593453
18406905;22242653;22442971
119897000;139010000;146596557
2933424;5140786;8021875
572036107;900085240;1385959570
4086539;9912917;21392273
7527450;14418063;28079664
3177560;5568651;9860578
1646400;2413945;4027887
117869;230614;412336
2181701;3086406;4060709
2762897;4577683;5811836
15393;21363;27420
2756380;6089707;7385416
228227052;382979491;667660967
2955044;4701360;6692999
228268752;383043891;667742098
14247175;20520549;29317318
64255;94953;137164
289972;362777;480751
4068095;4979815;5388720
1584720;1901315;1988925
7484656;8310531;8872109
349233;603373;1063715
41700;64400;81131
4592777;8956156;16354050
5724;7525;18876
3002596;4512795;8343321
885053233;1342386406;1791655658
308998195;389981317;435333173
1580513;2720838;4874735
27397178;47385325;62693322
